"id.num"	"order"	"days"	"log.size"	"ozone"
1	1	152	4.51	1
1	2	174	4.98	1
1	3	201	5.41	1
1	4	227	5.9	1
1	5	258	6.15	1
1	6	469	6.16	1
1	7	528	6.18	1
1	8	556	6.48	1
1	9	579	6.65	1
1	10	613	6.87	1
1	11	639	6.95	1
1	12	674	6.99	1
1	13	674	7.04	1
2	1	152	4.24	1
2	2	174	4.2	1
2	3	201	4.68	1
2	4	227	4.92	1
2	5	258	4.96	1
2	6	469	5.2	1
2	7	528	5.22	1
2	8	556	5.39	1
2	9	579	5.65	1
2	10	613	5.71	1
2	11	639	5.78	1
2	12	674	5.82	1
2	13	674	5.85	1
3	1	152	3.98	1
3	2	174	4.36	1
3	3	201	4.79	1
3	4	227	4.99	1
3	5	258	5.03	1
3	6	469	5.87	1
3	7	528	5.88	1
3	8	556	6.04	1
3	9	579	6.34	1
3	10	613	6.49	1
3	11	639	6.58	1
3	12	674	6.65	1
3	13	674	6.61	1
4	1	152	4.36	1
4	2	174	4.77	1
4	3	201	5.1	1
4	4	227	5.3	1
4	5	258	5.36	1
4	6	469	5.53	1
4	7	528	5.56	1
4	8	556	5.68	1
4	9	579	5.93	1
4	10	613	6.21	1
4	11	639	6.26	1
4	12	674	6.2	1
4	13	674	6.19	1
5	1	152	4.34	1
5	2	174	4.95	1
5	3	201	5.42	1
5	4	227	5.97	1
5	5	258	6.28	1
5	6	469	6.5	1
5	7	528	6.5	1
5	8	556	6.79	1
5	9	579	6.83	1
5	10	613	7.1	1
5	11	639	7.17	1
5	12	674	7.21	1
5	13	674	7.16	1
